input,output,source
"What are the common symptoms of diabetes?","Common symptoms of diabetes include increased thirst, frequent urination, extreme fatigue, blurred vision, cuts or bruises that are slow to heal, and unexplained weight loss (in type 1 diabetes).","sample"
"How can I manage high blood pressure?","High blood pressure can be managed through lifestyle changes such as maintaining a healthy diet low in sodium, regular exercise, maintaining a healthy weight, limiting alcohol consumption, not smoking, and managing stress. Medications may also be prescribed by your healthcare provider.","sample"
"What is the difference between type 1 and type 2 diabetes?","Type 1 diabetes is an autoimmune condition where the body doesn't produce insulin, typically diagnosed in children and young adults. Type 2 diabetes is when the body doesn't use insulin properly or doesn't produce enough, often related to lifestyle factors and typically diagnosed in adults.","sample"
"When should I see a cardiologist?","You should see a cardiologist if you have chest pain, shortness of breath, dizziness, palpitations, high blood pressure that's difficult to control, a family history of heart disease, or if your primary care doctor refers you for specialized cardiac care.","sample"
"What are the warning signs of a heart attack?","Warning signs of a heart attack include chest pain or pressure, pain radiating to arms, neck, jaw, or back, shortness of breath, nausea, lightheadedness, cold sweats, and fatigue. Women may experience subtler symptoms. Call emergency services immediately if you suspect a heart attack.","sample"
"How often should I get a mammogram?","Guidelines vary, but generally women aged 40-49 should discuss with their doctor about starting annual mammograms, women 50-74 should get mammograms every 1-2 years, and women over 75 should discuss with their healthcare provider based on individual risk factors and health status.","sample"
"What are the side effects of statins?","Common side effects of statins include muscle pain or weakness, digestive problems, increased blood sugar levels, and neurological side effects like memory problems. Most people tolerate statins well, but you should discuss any concerns with your healthcare provider.","sample"
"How can I prevent kidney stones?","To prevent kidney stones, drink plenty of water (at least 8 glasses daily), limit sodium intake, reduce animal protein consumption, eat more fruits and vegetables, and maintain a healthy weight. Specific dietary recommendations may vary based on the type of stones you've had.","sample"
"What is normal blood pressure?","Normal blood pressure is typically less than 120/80 mmHg. Elevated is 120-129 systolic and less than 80 diastolic. Stage 1 hypertension is 130-139/80-89 mmHg, and Stage 2 hypertension is 140/90 mmHg or higher. Regular monitoring is important for early detection.","sample"
"How do I know if I have sleep apnea?","Signs of sleep apnea include loud snoring, episodes of breathing cessation during sleep, gasping for air during sleep, morning headaches, excessive daytime sleepiness, difficulty concentrating, and irritability. A sleep study is needed for proper diagnosis.","sample"
